Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta,acc_term,theta
1,5,5,0.2378,0.0332770190973,0.121181759773,0.926020047688,10.3338,0.394764436088,SM-runs,0.926020047688,0.944970885194,0.926726472752,10,0.3
1,5,5,0.179933333333,0.0393623621694,0.0173007190194,0.778073052599,10.3948666667,0.849163028451,SM-runs,0.778073052599,0.990049985061,0.784407527733,-10,0.3
1,5,5,0.1276,0.0318513212703,0.0442980464563,0.914923960006,11.5904,0.674441576417,SM-runs,0.914923960006,0.978711339238,0.917195124307,gt,0.3
2,5,5,0.1556,0.0265199296128,0.0847769942043,0.963450081612,8.4122,0.273658716896,SM-runs,0.963450081612,0.962449525332,0.963406092803,10,0.3
2,5,5,0.130533333333,0.0328407605813,0.0104473859196,0.83445913508,8.17853333333,0.562662701408,SM-runs,0.83445913508,0.994367103438,0.839561465788,-10,0.3
2,5,5,0.0934666666667,0.0239049971531,0.0403162051252,0.954545027126,8.78093333333,0.410041049436,SM-runs,0.954545027126,0.981588061106,0.95555278081,gt,0.3
3,5,5,0.1486,0.0253477152159,0.0752370028946,0.95031198975,7.6758,0.568518683363,SM-runs,0.95031198975,0.967039390376,0.95083916019,10,0.3
3,5,5,0.0353333333333,0.00906029187658,0.00818384359828,0.967040285674,8.83573333333,0.245139271073,SM-runs,0.967040285674,0.996357488206,0.968133984309,-10,0.3
3,5,5,0.0672,0.0194120237654,0.0310761992724,0.970519687353,8.192,0.361240086369,SM-runs,0.970519687353,0.986465202593,0.971119762377,gt,0.3
4,5,5,0.1532,0.0375254580252,0.0817463950598,0.963151616358,6.5458,0.193172875943,SM-runs,0.963151616358,0.962774414096,0.963100751864,10,0.3
4,5,5,0.0258666666667,0.0113129227975,0.00495050656299,0.973603815382,8.21713333333,0.306326811682,SM-runs,0.973603815382,0.997719246654,0.974506211164,-10,0.3
4,5,5,0.0556,0.0203069774544,0.0237634878061,0.972565992351,7.51113333333,0.341792503656,SM-runs,0.972565992351,0.989217527905,0.973184443487,gt,0.3
5,5,5,0.137266666667,0.0398203744611,0.0730035078448,0.963767261561,6.0196,0.186108140606,SM-runs,0.963767261561,0.967466379777,0.963809992469,10,0.3
5,5,5,0.0188666666667,0.00635470079722,0.00402599028237,0.981699744167,8.01453333333,0.21198077481,SM-runs,0.981699744167,0.998118454233,0.982320817734,-10,0.3
5,5,5,0.0405333333333,0.0169346456184,0.0175665955246,0.98167782965,7.30653333333,0.238154534331,SM-runs,0.98167782965,0.991701161422,0.982058110839,gt,0.3
6,5,5,0.127466666667,0.0356124822062,0.0611007060324,0.953109612646,5.9968,0.273006520069,SM-runs,0.953109612646,0.971683022082,0.953743975011,10,0.3
6,5,5,0.0177333333333,0.00668796597546,0.00382328800848,0.982975776374,7.86346666667,0.242697305758,SM-runs,0.982975776374,0.99822227068,0.98355284429,-10,0.3
6,5,5,0.0365333333333,0.0121647943765,0.0174109626984,0.985364559624,7.62493333333,0.208550702601,SM-runs,0.985364559624,0.992396757018,0.98563154994,gt,0.3
7,5,5,0.111666666667,0.0286883638819,0.0520814508646,0.955013452884,6.124,0.158033329818,SM-runs,0.955013452884,0.976040070924,0.95577406908,10,0.3
7,5,5,0.0166,0.00685857127979,0.003488870303,0.983703007019,7.75506666667,0.37762935385,SM-runs,0.983703007019,0.998439503796,0.984261060872,-10,0.3
7,5,5,0.0396,0.022726783025,0.0150013675196,0.976173165341,7.5854,0.337854367048,SM-runs,0.976173165341,0.993093760083,0.97678205086,gt,0.3
8,5,5,0.1114,0.0265776848753,0.0533348095109,0.955694801092,5.9578,0.256888354478,SM-runs,0.955694801092,0.976443438765,0.956427274348,10,0.3
8,5,5,0.0138666666667,0.00615214506403,0.00252716239421,0.985727959615,7.7924,0.288121224487,SM-runs,0.985727959615,0.998816729658,0.986224265619,-10,0.3
8,5,5,0.0398666666667,0.0150548626327,0.0179938557908,0.982660402024,7.6336,0.2450727239,SM-runs,0.982660402024,0.991806206733,0.98299563335,gt,0.3
9,5,5,0.1,0.0282252841734,0.0506801418489,0.970818832395,6.01493333333,0.171546482201,SM-runs,0.970818832395,0.976408725021,0.971008834465,10,0.3
9,5,5,0.0154,0.00740990328322,0.00229420299206,0.98288210214,7.55073333333,0.190245619018,SM-runs,0.98288210214,0.998901810841,0.983487153234,-10,0.3
9,5,5,0.0402666666667,0.0227492612823,0.0154846690275,0.976620233228,7.47546666667,0.263253709481,SM-runs,0.976620233228,0.992960774039,0.977216314258,gt,0.3
10,5,5,0.101,0.0305853995669,0.0484509570614,0.960775284095,6.06146666667,0.195029183001,SM-runs,0.960775284095,0.978228604621,0.961398848546,10,0.3
10,5,5,0.0152,0.00510163372526,0.00233232356312,0.983344988957,7.58966666667,0.216663692287,SM-runs,0.983344988957,0.998913192753,0.983934483549,-10,0.3
10,5,5,0.0469333333333,0.0304750535502,0.0160248326444,0.967772123572,7.38193333333,0.464625077048,SM-runs,0.967772123572,0.992669309464,0.968641375678,gt,0.3
