Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta
1,3,5,0.595033333333,0.0649212257706,0.349824096698,0.917903504573,12.3,0.0,Baseline,0.917903504573,0.855246586427,0.906768428092
1,3,5,0.655766666667,0.0647326210053,0.388138435725,0.915142579871,12.3,0.0,Baseline-criteria,0.915142579871,0.841509153416,0.901924101308
1,5,5,0.3386,0.0485706358479,0.197246135546,0.956642301787,20.5,0.0,Baseline,0.956642301787,0.914146873431,0.949260736387
1,5,5,0.4703,0.0563223756601,0.280753796818,0.954657837159,20.5,0.0,Baseline-criteria,0.954657837159,0.882000847068,0.941691185135
1,10,5,0.128866666667,0.0265050100086,0.0794165115243,0.990330341719,41.0,0.0,Baseline,0.990330341719,0.965602640831,0.986112089972
1,10,5,0.197666666667,0.0294972691768,0.122987146516,0.988194551677,41.0,0.0,Baseline-criteria,0.988194551677,0.947482269284,0.981155387478
2,3,5,0.416333333333,0.0451961158606,0.24461043673,0.944727581869,12.6,0.0,Baseline,0.944727581869,0.896146544116,0.936242425297
2,3,5,0.456966666667,0.0455239741479,0.268564949837,0.939720715254,12.6,0.0,Baseline-criteria,0.939720715254,0.886548941975,0.930390987736
2,5,5,0.1987,0.0419198839057,0.117605770226,0.97699185402,21.0,0.0,Baseline,0.97699185402,0.948534805742,0.972108091568
2,5,5,0.276866666667,0.0366112308209,0.1677009277,0.976230588347,21.0,0.0,Baseline-criteria,0.976230588347,0.92812502092,0.967853209648
2,10,5,0.0513333333333,0.0116828459242,0.0312034305413,0.996349604791,42.0,0.0,Baseline,0.996349604791,0.985910342099,0.994592207054
2,10,5,0.0838,0.0196051013769,0.0512791642374,0.995188646461,42.0,0.0,Baseline-criteria,0.995188646461,0.976939446558,0.992094151685
3,3,5,0.306866666667,0.044770327475,0.180840376341,0.964111915181,12.9,0.0,Baseline,0.964111915181,0.921641354293,0.956739121972
3,3,5,0.340533333333,0.0475631042815,0.198254528216,0.954687497989,12.9,0.0,Baseline-criteria,0.954687497989,0.914000331532,0.94762145683
3,5,5,0.1358,0.0266425724484,0.0815580303288,0.985775966527,21.5,0.0,Baseline,0.985775966527,0.964294763367,0.982124252935
3,5,5,0.179133333333,0.0330380924927,0.109437976786,0.985077141083,21.5,0.0,Baseline-criteria,0.985077141083,0.952755394919,0.979527274263
3,10,5,0.0331333333333,0.00931569762402,0.0209690500248,0.9983692011,43.0,0.0,Baseline,0.9983692011,0.990852867188,0.997107410528
3,10,5,0.0484333333333,0.0135540481858,0.0307993854878,0.997943060008,43.0,0.0,Baseline-criteria,0.997943060008,0.986620202576,0.99603593788
4,3,5,0.2502,0.0316716487309,0.150598371907,0.97253229019,13.2,0.0,Baseline,0.97253229019,0.935796707516,0.966189764747
4,3,5,0.270933333333,0.0272359239894,0.16069053627,0.964996938011,13.2,0.0,Baseline-criteria,0.964996938011,0.931271871714,0.959185422152
4,5,5,0.106933333333,0.0212445025569,0.0644963824568,0.988769373022,22.0,0.0,Baseline,0.988769373022,0.971824062098,0.985898305678
4,5,5,0.135433333333,0.0248417435423,0.0825118264203,0.987324950613,22.0,0.0,Baseline-criteria,0.987324950613,0.964262242897,0.983398125368
4,10,5,0.019,0.00886190348251,0.0119796621861,0.998805638481,44.0,0.0,Baseline,0.998805638481,0.994804756964,0.998135426788
4,10,5,0.0281333333333,0.0139157784148,0.017873266069,0.998612197935,44.0,0.0,Baseline-criteria,0.998612197935,0.992248890513,0.997543223773
