Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta
1,3,5,0.6042,0.067122971726,0.35753176258,0.920341881781,12.3,0.0,Baseline,0.920341881781,0.85327895412,0.90838937693
1,3,5,0.472933333333,0.0422492077506,0.255028938091,0.88133322476,9.3558,0.170199177436,M-runs,0.88133322476,0.886698238487,0.882112127041
1,3,5,0.211066666667,0.050749668855,0.104821706368,0.927340578657,9.8602,0.671378105094,SM-runs,0.927340578657,0.95270091366,0.931393764353
1,5,5,0.336133333333,0.0453899646275,0.195397505425,0.953384260657,20.5,0.0,Baseline,0.953384260657,0.9152908072,0.94680305505
1,5,5,0.3024,0.0658389955371,0.165410798378,0.935023366825,15.7873333333,0.202878179102,M-runs,0.935023366825,0.925928414036,0.933461277341
1,5,5,0.1582,0.0340532915688,0.0588677864941,0.902109087321,10.6849333333,0.514549442609,SM-runs,0.902109087321,0.972088941532,0.912737168362
1,10,5,0.121,0.0246441338524,0.0742809107884,0.988970481496,41.0,0.0,Baseline,0.988970481496,0.9680510491,0.985415506729
1,10,5,0.114333333333,0.0273731417431,0.0672859400865,0.983616217593,32.2346666667,0.35309803486,M-runs,0.983616217593,0.970673880297,0.981430263279
1,10,5,0.148133333333,0.0359997530856,0.0369468133976,0.866542430577,11.5088666667,1.06949432703,SM-runs,0.866542430577,0.982220128169,0.8831987268
2,3,5,0.405866666667,0.0423617227643,0.241026678206,0.945014742743,12.6,0.0,Baseline,0.945014742743,0.899258538702,0.93705419411
2,3,5,0.331533333333,0.0501143581111,0.179340284585,0.916743314123,9.6966,0.108051099023,M-runs,0.916743314123,0.921054122511,0.917350903694
2,3,5,0.1374,0.0378414235109,0.0691595182427,0.953780120899,8.189,0.573374339619,SM-runs,0.953780120899,0.969331361725,0.956287116536
2,5,5,0.200666666667,0.040382614521,0.121392286159,0.977031389174,21.0,0.0,Baseline,0.977031389174,0.948553509343,0.972145653033
2,5,5,0.179,0.0464384897831,0.101086680582,0.963599210432,16.3646666667,0.156870080711,M-runs,0.963599210432,0.956233817869,0.96235118851
2,5,5,0.1108,0.0430599581978,0.0532084545574,0.956709843521,8.91153333333,0.634443048841,SM-runs,0.956709843521,0.976469100216,0.959919284366
2,10,5,0.0581333333333,0.0141556427697,0.0358527143405,0.995943746449,42.0,0.0,Baseline,0.995943746449,0.984161459645,0.993958475189
2,10,5,0.046,0.0152315462117,0.0275855764118,0.995226595213,33.3833333333,0.244122009568,M-runs,0.995226595213,0.987720861901,0.993965286101
2,10,5,0.0792666666667,0.0282947973231,0.0293752706404,0.950253237689,9.9008,0.55173933459,SM-runs,0.950253237689,0.986617435964,0.956082906719
3,3,5,0.292,0.044235732163,0.175245031217,0.965024317587,12.9,0.0,Baseline,0.965024317587,0.926060756767,0.958267354646
3,3,5,0.2538,0.0457925758175,0.140489477578,0.943364548986,10.035,0.110759198264,M-runs,0.943364548986,0.938631379501,0.942527126927
