Nt,J,lr,loss_mean,loss_std,price_mean,price_std,alg,recall,precision,f_beta,tests_num,corr,machine_selec_conf,baseline_items,total_items
5,3,5,0.13830000000000003,0.0729383986662718,0.0,0.0,Machines-Ensemble,0.811320177164944,0.9965252136482465,0.8358317867209941,50,0.0,0.95,20,1000
5,3,5,0.0372,0.026083711392361323,5.959200000000001,0.5177041239936185,Hybrid-Ensemble,0.9997071964974961,0.989339658938585,0.9979565463183816,50,0.0,0.95,20,1000
5,3,5,0.06299999999999999,0.03269862382425291,8.956300000000002,1.1048046931471645,Crowd-Ensemble,0.9902750537490423,0.9836690658423798,0.9890353608740293,50,0.0,0.95,20,1000
5,3,5,0.1477,0.08778046479712898,0.0,0.0,Machines-Ensemble,0.8383453667778065,0.9874586215526922,0.8586257684339766,50,0.1,0.95,20,1000
5,3,5,0.034,0.022000000000000002,6.2170000000000005,0.5986364506108862,Hybrid-Ensemble,1.0,0.9904109477242008,0.9983835084428971,50,0.1,0.95,20,1000
5,3,5,0.053000000000000005,0.038042081961953654,8.7391,1.6437750728125793,Crowd-Ensemble,0.9971788139104933,0.9856642936523722,0.9952349090342567,50,0.1,0.95,20,1000
5,3,5,0.20990000000000003,0.07370407044390426,0.0,0.0,Machines-Ensemble,0.8279202454526532,0.9682740685397115,0.8475793081193329,50,0.2,0.95,20,1000
5,3,5,0.033,0.020396078054371138,6.2672,0.4615267706211636,Hybrid-Ensemble,1.0,0.9905561367539375,0.9984087703379284,50,0.2,0.95,20,1000
5,3,5,0.0853,0.05878783887846193,8.5418,1.9113565235193564,Crowd-Ensemble,0.9886097252511643,0.9776767822426764,0.9867334530876744,50,0.2,0.95,20,1000
5,3,5,0.2965,0.09558687148348355,0.0,0.0,Machines-Ensemble,0.834407939914566,0.9411003774752128,0.8501440654508565,50,0.3,0.95,20,1000
5,3,5,0.05,0.020615528128088305,6.4563999999999995,0.5625451448550596,Hybrid-Ensemble,1.0,0.9859954912406877,0.9976336762727952,50,0.3,0.95,20,1000
5,3,5,0.0658,0.044930613171867584,8.0577,2.06200383365308,Crowd-Ensemble,0.9931506648701905,0.9828371532630118,0.9914149146460911,50,0.3,0.95,20,1000
5,3,5,0.4657,0.12445485125136747,0.0,0.0,Machines-Ensemble,0.8031435103297386,0.89326342937496,0.81617579268804,50,0.4,0.95,20,1000
5,3,5,0.0493,0.02070772802602932,6.978700000000001,0.741840151245536,Hybrid-Ensemble,0.9995770315632766,0.9861033767808143,0.9973008329715153,50,0.4,0.95,20,1000
5,3,5,0.0521,0.03798275924679512,9.490799999999998,1.0175505687679607,Crowd-Ensemble,0.9983532934131738,0.9854992142521738,0.99617584506829,50,0.4,0.95,20,1000
5,3,5,0.6115999999999999,0.14436426150540166,0.0,0.0,Machines-Ensemble,0.851717692900609,0.8535769210505798,0.8519094324113082,50,0.5,0.95,20,1000
5,3,5,0.0512,0.012196720870791461,7.3523,0.5953872773245998,Hybrid-Ensemble,0.9997077970587608,0.9855507501367391,0.9973184036755386,50,0.5,0.95,20,1000
5,3,5,0.0522,0.0236930369518135,9.052499999999998,1.068522180396832,Crowd-Ensemble,0.9975193060404106,0.9856413696466033,0.9955124206507586,50,0.5,0.95,20,1000
5,3,5,0.6813,0.2102841173270107,0.0,0.0,Machines-Ensemble,0.8193480890270403,0.8432943801186159,0.8191335528780168,50,0.6,0.95,20,1000
5,3,5,0.0493,0.02981291666375499,7.553699999999999,0.9509618341447778,Hybrid-Ensemble,0.9995709489495109,0.9862444305648459,0.9973148549108535,50,0.6,0.95,20,1000
5,3,5,0.0508,0.029775157430314288,8.304,1.6576743950486779,Crowd-Ensemble,0.9945193666101091,0.9866486683504,0.993188950720248,50,0.6,0.95,20,1000
5,3,5,0.7620999999999999,0.2284151702492634,0.0,0.0,Machines-Ensemble,0.8280231728899355,0.8252569494797019,0.8215195156249454,50,0.7,0.95,20,1000
5,3,5,0.0512,0.02491906900347603,7.8985,0.9420609587494858,Hybrid-Ensemble,0.9997122302158274,0.9853730093117472,0.997285491570994,50,0.7,0.95,20,1000
5,3,5,0.05600000000000001,0.03397057550292606,9.682799999999999,0.3563739047685731,Crowd-Ensemble,1.0,0.9839354547664751,0.9972722932407339,50,0.7,0.95,20,1000
5,3,5,0.8164999999999999,0.20626645388913828,0.0,0.0,Machines-Ensemble,0.8429354655005119,0.8176763545540509,0.826700444353467,50,0.8,0.95,20,1000
5,3,5,0.028600000000000004,0.012068139873236471,8.132100000000001,0.9865221183531567,Hybrid-Ensemble,0.99985935302391,0.9918429974069793,0.9985126308990703,50,0.8,0.95,20,1000
5,3,5,0.0619,0.03118156506655816,8.744299999999999,1.7104493590866698,Crowd-Ensemble,0.9965154331992053,0.9830172607216244,0.9942335736897675,50,0.8,0.95,20,1000
5,3,5,0.9338999999999998,0.344650968372352,0.0,0.0,Machines-Ensemble,0.9286296147505915,0.7871237959261179,0.900834342423811,50,0.9,0.95,20,1000
5,3,5,0.054000000000000006,0.04993996395673509,8.3792,1.6206065407741632,Hybrid-Ensemble,1.0,0.9846635111789948,0.9973821453744789,50,0.9,0.95,20,1000
5,3,5,0.07089999999999999,0.052035468672819704,8.3826,1.7757559066493347,Crowd-Ensemble,0.9927819603026131,0.980958136934799,0.9907774062506695,50,0.9,0.95,20,1000
