Nt,J,lr,loss_mean,loss_std,FPR,TPR,price_mean,price_std,alg,recall,precision,f_beta,pow_term,theta
1,5,5,0.1712,0.0317158214986,0.0531364230385,0.95575540428,7.3778,0.15174768532,SM-runs,0.95575540428,0.930364523136,0.951401493666,10,0.3
1,5,5,0.0984,0.0262292457637,0.00359319668966,0.792922778335,6.58326666667,0.61937381999,SM-runs,0.792922778335,0.993938739962,0.819918521369,-10,0.3
1,5,5,0.0732,0.015056338643,0.017921720213,0.949239890248,8.46226666667,0.222517554863,SM-runs,0.949239890248,0.974603299416,0.953314102572,gt,0.3
2,5,5,0.1656,0.0352889028827,0.0539979342039,0.976405584862,5.19406666667,0.181704693268,SM-runs,0.976405584862,0.930039590968,0.968315868927,10,0.3
2,5,5,0.0272666666667,0.0304378419442,0.00322666528113,0.956695124214,7.31013333333,0.654216668153,SM-runs,0.956695124214,0.995361315083,0.96215432571,-10,0.3
2,5,5,0.0392666666667,0.0164254545007,0.0109608430798,0.981929459156,6.61686666667,0.21546720297,SM-runs,0.981929459156,0.984954305839,0.98242637244,gt,0.3
3,5,5,0.1702,0.0483103853569,0.0539830489293,0.970018662223,3.925,0.0697987583462,SM-runs,0.970018662223,0.927825620719,0.96265500958,10,0.3
3,5,5,0.0114,0.00673102270585,0.00238721050965,0.989468100625,6.3788,0.19834959037,SM-runs,0.989468100625,0.996590472588,0.990636198423,-10,0.3
3,5,5,0.0332,0.0130853607771,0.0101319734553,0.99090389098,5.75613333333,0.0964364154364,SM-runs,0.99090389098,0.986156976267,0.990099427819,gt,0.3
4,5,5,0.1106,0.0259301626168,0.0346384702194,0.976239524957,3.8592,0.186639831404,SM-runs,0.976239524957,0.953148545601,0.972292201762,10,0.3
4,5,5,0.00666666666667,0.00555777733351,0.00175382512786,0.996095163751,6.0238,0.119613377178,SM-runs,0.996095163751,0.997669608959,0.996354988308,-10,0.3
4,5,5,0.0218,0.00889344327768,0.00703212565321,0.996541310774,4.97406666667,0.0673809732458,SM-runs,0.996541310774,0.990404591261,0.995509327855,gt,0.3
5,5,5,0.0779333333333,0.014401234515,0.0246644330077,0.984371276088,3.76906666667,0.0713586870831,SM-runs,0.984371276088,0.966749800333,0.981379443719,10,0.3
5,5,5,0.00406666666667,0.00256818137123,0.000793276630498,0.995868576846,5.89393333333,0.0704362280522,SM-runs,0.995868576846,0.998863944727,0.996365404828,-10,0.3
5,5,5,0.0169333333333,0.0134336228257,0.00538148695873,0.99692285678,4.83346666667,0.141383104444,SM-runs,0.99692285678,0.992562704522,0.996186765003,gt,0.3
6,5,5,0.0651333333333,0.0146781773013,0.0210300182693,0.987900576097,3.70466666667,0.0507473042524,SM-runs,0.987900576097,0.972479386232,0.985282956845,10,0.3
6,5,5,0.00593333333333,0.00431225643435,0.00151492907403,0.996176271987,5.68986666667,0.147026467761,SM-runs,0.996176271987,0.99797060029,0.996473252274,-10,0.3
6,5,5,0.033,0.012318008497,0.011038767548,0.997620625944,4.4002,0.199862686196,SM-runs,0.997620625944,0.984962883122,0.995482017059,gt,0.3
7,5,5,0.0598666666667,0.0166687998635,0.0191199269712,0.989998178988,3.711,0.056428125375,SM-runs,0.989998178988,0.973793173445,0.987251356267,10,0.3
7,5,5,0.00426666666667,0.00394067112164,0.000914981508986,0.996124860809,5.5206,0.252133245197,SM-runs,0.996124860809,0.99872358984,0.996552636329,-10,0.3
7,5,5,0.0392,0.0174783675821,0.0133986467227,0.998736099534,4.31093333333,0.109038504922,SM-runs,0.998736099534,0.982062367319,0.995907747048,gt,0.3
8,5,5,0.0428666666667,0.0120214622886,0.0138246107658,0.993185352933,3.69726666667,0.0663118558195,SM-runs,0.993185352933,0.981244499287,0.991169933919,10,0.3
8,5,5,0.0044,0.00406283972938,0.00127732372742,0.998254252437,5.4666,0.144487969511,SM-runs,0.998254252437,0.998278313221,0.998257739478,-10,0.3
8,5,5,0.0354666666667,0.0179103942509,0.0119103690475,0.998070336252,4.3034,0.118317538852,SM-runs,0.998070336252,0.983685949764,0.995635435779,gt,0.3
9,5,5,0.0432,0.0129881997726,0.0140841662413,0.9940151527,3.753,0.0781178596737,SM-runs,0.9940151527,0.981000453429,0.991818645346,10,0.3
9,5,5,0.0028,0.0024,0.000693338040973,0.998126692675,5.42053333333,0.107693309397,SM-runs,0.998126692675,0.999055242853,0.998280249501,-10,0.3
9,5,5,0.0396,0.0205614526076,0.0131713435857,0.997742042329,4.22813333333,0.174222029478,SM-runs,0.997742042329,0.981575997979,0.994994182377,gt,0.3
10,5,5,0.0504666666667,0.0461445073173,0.0106167500567,0.95167259506,3.76353333333,0.227027418804,SM-runs,0.95167259506,0.984836567667,0.955169189341,10,0.3
10,5,5,0.00353333333333,0.0033038697849,0.000914063952242,0.997928966912,5.407,0.0548172722172,SM-runs,0.997928966912,0.998717028666,0.998058865174,-10,0.3
10,5,5,0.0407333333333,0.0138056349204,0.0140429475208,0.999063033273,4.23073333333,0.20247714823,SM-runs,0.999063033273,0.981397125041,0.996068258936,gt,0.3
